"Active From","Aktiewe Van"
"Active To","Aktiewe aan"
"Add to Cart","Voeg by die winkelwagen"
"Add to Compare","Voeg by Vergelyk"
"Add to Wish List","Voeg by wens-lysie by"
"Auto Width","Outomatiese breedte"
"Autoplay","outomaties af te speel"
"Change name of nav button","Verander naam van navknoppie"
"Create New Slider","Skep nuwe glyer"
"Data","data"
"Delete","verwyder"
"Delete ","verwyder"
"Delete Slider","Skuif skuif verwyder"
"Edit","wysig"
"Edit Slider ","Verander skuifbalk"
"In stock","Op voorraad"
"Is Enabled Module","Is aangeskakel Module"
"Is Responsive","Is Responsief"
"Lazy load images","Lazy load beelde"
"Loop Slider","Loop Slider"
"Margin Between Items","Marge tussen items"
"Max Items Slider (Screen Bigger Than 1000)","Maksimum-items skuifbalk (skerm groter as 1000)"
"Max Items Slider (Screen From 0 to 600)","Maksimum items skuifbalk (skerm van 0 tot 600)"
"Max Items Slider (Screen From 600 to 1000)","Maksimum-items skuifbalk (skerm van 600 tot 1000)"
"Name","naam"
"New Slider","Nuwe Slider"
"Next/Prev buttons","Volgende / Vorige knoppies"
"No","Geen"
"Out of stock","Uit voorraad uit"
"Product Slider","Produk Slider"
"Product Slider Settings","Produk Slider instellings"
"Recently Viewed","Onlangs gesien"
"Save Slider","Stoor Slider"
"Save and Continue Edit","Stoor en gaan voort Verander"
"Should be 1 to most style","Moet 1 na die meeste styl wees"
"Should be 10 to most style","Moet 10 tot die meeste styl wees"
"Should be 3 to most style","Moet 3 tot die meeste styl wees"
"Should be 5 to most style","Moet 5 tot die meeste styl wees"
"Show Dots Navigation","Wys Punte Navigasie"
"Slider","Slider"
"Slider Information","Slider Inligting"
"Slider to delete was not found.","Skuifblaaier om te skrap, is nie gevind nie."
"Sliders","sliders"
"Something went wrong while saving the Slider.","Iets het verkeerd gegaan terwyl jy die Slider gestoor het."
"Status","status"
"Store 1","Winkel 1"
"Store 2","Winkel 2"
"Store View","Winkel sien"
"The Slider has been deleted.","Die Slider is verwyder."
"The Slider has been saved.","Die Slider is gestoor."
"This Slider no longer exists.","Hierdie Slider bestaan ​​nie meer nie."
"Yes","Ja"