"Active From","Actiu des de"
"Active To","Active To"
"Add to Cart","Afegeix a la cistella"
"Add to Compare","Afegeix a la llista de comparació"
"Add to Wish List","Afegir a la llista de desitjos"
"Auto Width","Ample automàtic"
"Autoplay","Reproducció automàtica"
"Change name of nav button","Canvieu el nom del botó nav"
"Create New Slider","Crea un control lliscant nou"
"Data","Dades"
"Delete","Suprimeix"
"Delete ","Suprimeix"
"Delete Slider","Elimina el control lliscant"
"Edit","Edita"
"Edit Slider ","Edita el control lliscant"
"In stock","En existència"
"Is Enabled Module","Està habilitat Mòdul"
"Is Responsive","És sensible"
"Lazy load images","Imatges de càrrega mandrós"
"Loop Slider","Control lliscant de bucles"
"Margin Between Items","Marge entre elements"
"Max Items Slider (Screen Bigger Than 1000)","Control desplegable d'elements màxim (pantalla major que 1000)"
"Max Items Slider (Screen From 0 to 600)","Contenidor controlat d'elements màxim (pantalla de 0 a 600)"
"Max Items Slider (Screen From 600 to 1000)","Control desplegable d'elements màx. (Pantalla de 600 a 1000)"
"Name","Nom"
"New Slider","Nou control lliscant"
"Next/Prev buttons","Botons Next / Prev"
"No","No"
"Out of stock","Exhaurit"
"Product Slider","Control lliscant del producte"
"Product Slider Settings","Configuració del control lliscant del producte"
"Recently Viewed","vist recentment"
"Save Slider","Desa el control lliscant"
"Save and Continue Edit","Desa i continua Edita"
"Should be 1 to most style","Hauria de ser 1 a la majoria de l'estil"
"Should be 10 to most style","Hauria de ser de 10 a la majoria de l'estil"
"Should be 3 to most style","Hauria de ser de 3 a la majoria de l'estil"
"Should be 5 to most style","Hauria de ser de 5 a la majoria de l'estil"
"Show Dots Navigation","Mostra la navegació de punts"
"Slider","Control lliscant"
"Slider Information","Informació del control lliscant"
"Slider to delete was not found.","El control lliscant per esborrar no s'ha trobat."
"Sliders","Sliders"
"Something went wrong while saving the Slider.","S'ha produït un error al guardar el control lliscant."
"Status","Estat"
"Store 1","Botiga 1"
"Store 2","Botiga 2"
"Store View","Vista de la botiga"
"The Slider has been deleted.","S'ha eliminat el control lliscant."
"The Slider has been saved.","S'ha desat el control lliscant."
"This Slider no longer exists.","Aquest control lliscant ja no existeix."
"Yes","Sí"