"Active From","Aktiv Fra"
"Active To","Aktiv til"
"Add to Cart","Tilføj til kurv"
"Add to Compare","Tilføj til sammenligning"
"Add to Wish List","Tilføj til ønskeliste"
"Auto Width","Automatisk bredde"
"Autoplay","Automatisk afspilning"
"Change name of nav button","Skift navn på nav-knap"
"Create New Slider","Opret ny skyder"
"Data","Data"
"Delete","Slet"
"Delete ","Slet"
"Delete Slider","Slet skyderen"
"Edit","Redigere"
"Edit Slider ","Rediger skyderen"
"In stock","På lager"
"Is Enabled Module","Er aktiveret modul"
"Is Responsive","Er Responsive"
"Lazy load images","Lazy load billeder"
"Loop Slider","Loop Slider"
"Margin Between Items","Margen mellem elementer"
"Max Items Slider (Screen Bigger Than 1000)","Skærme med maks. Poster (Skærm større end 1000)"
"Max Items Slider (Screen From 0 to 600)","Gengivelser for maks. Poster (skærm fra 0 til 600)"
"Max Items Slider (Screen From 600 to 1000)","Gengivelser for maks. Poster (skærm fra 600 til 1000)"
"Name","Navn"
"New Slider","Ny skyder"
"Next/Prev buttons","Næste / Forrige knapper"
"No","Ingen"
"Out of stock","Udsolgt"
"Product Slider","Produktskyder"
"Product Slider Settings","Indstillinger for produktskyder"
"Recently Viewed","Senest set"
"Save Slider","Gem Slider"
"Save and Continue Edit","Gem og Fortsæt Rediger"
"Should be 1 to most style","Bør være 1 til de fleste stilarter"
"Should be 10 to most style","Skal være 10 til de fleste stilarter"
"Should be 3 to most style","Skal være 3 til de fleste stilarter"
"Should be 5 to most style","Bør være 5 til de fleste stilarter"
"Show Dots Navigation","Vis prikker Navigation"
"Slider","Slider"
"Slider Information","Slider Information"
"Slider to delete was not found.","Slider til sletning blev ikke fundet."
"Sliders","sliders"
"Something went wrong while saving the Slider.","Noget gik galt, mens du gemte skyderen."
"Status","status"
"Store 1","Opbevar 1"
"Store 2","Store 2"
"Store View","Store visning"
"The Slider has been deleted.","Skyderen er slettet."
"The Slider has been saved.","Skyderen er blevet gemt."
"This Slider no longer exists.","Denne skyderen findes ikke længere."
"Yes","Ja"