"Active From","Aktiivinen"
"Active To","Aktiivinen"
"Add to Cart","Lisää koriin>"
"Add to Compare","Lisää vertailuun"
"Add to Wish List","Lisää toivelistaan"
"Auto Width","Automaattinen leveys"
"Autoplay","Automaattinen toisto"
"Change name of nav button","Vaihda nav-painikkeen nimi"
"Create New Slider","Luo uusi liukusäädin"
"Data","data"
"Delete","Poistaa"
"Delete ","Poistaa"
"Delete Slider","Poista liukusäädin"
"Edit","Muokata"
"Edit Slider ","Muokkaa liukusäädintä"
"In stock","Varastossa"
"Is Enabled Module","On käytössä moduuli"
"Is Responsive","On reagoiva"
"Lazy load images","Laiska lataa kuvia"
"Loop Slider","Loop Slider"
"Margin Between Items","Välikehys"
"Max Items Slider (Screen Bigger Than 1000)","Max Items Slider (näytön suurempi kuin 1000)"
"Max Items Slider (Screen From 0 to 600)","Max Items Slider (ruudun 0 - 600)"
"Max Items Slider (Screen From 600 to 1000)","Max Items Slider (näytön koko 600 - 1000)"
"Name","Nimi"
"New Slider","Uusi liukusäädin"
"Next/Prev buttons","Seuraava / Edellinen-painikkeet"
"No","Ei"
"Out of stock","Loppu varastosta"
"Product Slider","Tuotteen liukusäädin"
"Product Slider Settings","Tuotteen liukusäätimen asetukset"
"Recently Viewed","Äskettäin katsottu"
"Save Slider","Tallenna liukusäädin"
"Save and Continue Edit","Tallenna ja jatka Muokkaa"
"Should be 1 to most style","Pitäisi olla 1 - useimmissa tyyliin"
"Should be 10 to most style","Pitäisi olla 10 eniten tyyliä"
"Should be 3 to most style","Pitäisi olla 3 tai useampaa tyyliä"
"Should be 5 to most style","Pitäisi olla 5 tai useimmissa tyyliin"
"Show Dots Navigation","Näytä pistemäärän navigointi"
"Slider","Slider"
"Slider Information","Liukusäätimen tiedot"
"Slider to delete was not found.","Poistua liukusäädintä ei löytynyt."
"Sliders","Sliders"
"Something went wrong while saving the Slider.","Jotain meni pieleen salasanan tallentamisen aikana."
"Status","Status"
"Store 1","Säilytä 1"
"Store 2","Store 2"
"Store View","Tallenna näkymä"
"The Slider has been deleted.","Liukusäädin on poistettu."
"The Slider has been saved.","Liukusäädin on tallennettu."
"This Slider no longer exists.","Tämä liukusäädin ei ole enää olemassa."
"Yes","Joo"