"Active From","Actif à partir de"
"Active To","Actif à"
"Add to Cart","Ajouter au panier"
"Add to Compare","ajouter pour comparer"
"Add to Wish List","Ajouter à la liste de souhaits"
"Auto Width","Largeur automatique"
"Autoplay","Lecture automatique"
"Change name of nav button","Changer le nom du bouton de navigation"
"Create New Slider","Créer un nouveau curseur"
"Data","Les données"
"Delete","Effacer"
"Delete ","Effacer"
"Delete Slider","Supprimer le curseur"
"Edit","modifier"
"Edit Slider ","Modifier le curseur"
"In stock","En stock"
"Is Enabled Module","Le module est-il activé?"
"Is Responsive","Est réactif"
"Lazy load images","Images de chargement paresseuses"
"Loop Slider","Loop Slider"
"Margin Between Items","Marge entre les éléments"
"Max Items Slider (Screen Bigger Than 1000)","Diapositive des éléments maximum (écran plus grand que 1000)"
"Max Items Slider (Screen From 0 to 600)","Diapositive des éléments max. (Écran de 0 à 600)"
"Max Items Slider (Screen From 600 to 1000)","Correctif Max Items (écran de 600 à 1000)"
"Name","prénom"
"New Slider","Nouveau curseur"
"Next/Prev buttons","Boutons Suivant / Précédent"
"No","Non"
"Out of stock","En rupture de stock"
"Product Slider","Curseur de produit"
"Product Slider Settings","Paramètres du curseur de produit"
"Recently Viewed","vu récemment"
"Save Slider","Save Slider"
"Save and Continue Edit","Enregistrer et continuer Modifier"
"Should be 1 to most style","Devrait être de 1 à la plupart des styles"
"Should be 10 to most style","Devrait être de 10 à la plupart des styles"
"Should be 3 to most style","Devrait être de 3 à la plupart des styles"
"Should be 5 to most style","Doit être 5 à la plupart des styles"
"Show Dots Navigation","Afficher la navigation des points"
"Slider","Slider"
"Slider Information","Informations sur les curseurs"
"Slider to delete was not found.","Le curseur à supprimer n'a pas été trouvé."
"Sliders","Sliders"
"Something went wrong while saving the Slider.","Une erreur s'est produite lors de la sauvegarde du curseur."
"Status","Statut"
"Store 1","Magasin 1"
"Store 2","Magasin 2"
"Store View","Vue de magasin"
"The Slider has been deleted.","Le curseur a été supprimé."
"The Slider has been saved.","Le curseur a été enregistré."
"This Slider no longer exists.","Ce curseur n'existe plus."
"Yes","Oui"