"Active From","Aktív"
"Active To","Aktív"
"Add to Cart","Kosárba"
"Add to Compare","Összehasonlítás"
"Add to Wish List","Hozzáadni a Kívánságlistához"
"Auto Width","Automatikus szélesség"
"Autoplay","Automatikus lejátszás"
"Change name of nav button","A nav gomb módosítása"
"Create New Slider","Új csúszka létrehozása"
"Data","Adat"
"Delete","Töröl"
"Delete ","Töröl"
"Delete Slider","Törölje a csúszkát"
"Edit","szerkesztése"
"Edit Slider ","Csukló szerkesztése"
"In stock","Raktáron"
"Is Enabled Module","Engedélyezett modul"
"Is Responsive","Érzékeny"
"Lazy load images","Lusta betöltő képek"
"Loop Slider","Loop Slider"
"Margin Between Items","Az elemek közötti margó"
"Max Items Slider (Screen Bigger Than 1000)","Max elemek csúszka (képernyő nagyobb, mint 1000)"
"Max Items Slider (Screen From 0 to 600)","Max elemek csúszka (képernyő 0 és 600 között)"
"Max Items Slider (Screen From 600 to 1000)","Max elemek csúszka (képernyő 600-ról 1000-re)"
"Name","Név"
"New Slider","Új csúszka"
"Next/Prev buttons","Következő / Előző gombok"
"No","Nem"
"Out of stock","Nincs raktáron"
"Product Slider","Termékcsúszka"
"Product Slider Settings","Termékcsúszka beállításai"
"Recently Viewed","Nemrég nézett"
"Save Slider","Csúsztassa a mentést"
"Save and Continue Edit","Mentés és Folytatás Szerkesztés"
"Should be 1 to most style","A legtöbb stílusnak legfeljebb 1 lehet"
"Should be 10 to most style","A legtöbben 10 lehet"
"Should be 3 to most style","A legtöbb stílusnak 3 lehet"
"Should be 5 to most style","A legtöbben ötnek kell lennie"
"Show Dots Navigation","Mutassa a pontok navigálását"
"Slider","Slider"
"Slider Information","Slider információk"
"Slider to delete was not found.","A törölni kívánt csúszó nem található."
"Sliders","Sliders"
"Something went wrong while saving the Slider.","Valami hiba történt a Csúszka mentése közben."
"Status","Állapot"
"Store 1","Tárolja 1"
"Store 2","Tárolja 2"
"Store View","Tárolja a nézetet"
"The Slider has been deleted.","A csúszka törölve lett."
"The Slider has been saved.","A Csúszka mentésre került."
"This Slider no longer exists.","Ez a csúszka már nem létezik."
"Yes","Igen"