"Active From","Attivo da"
"Active To","Attivo a"
"Add to Cart","Aggiungi al carrello"
"Add to Compare","Aggiungi a comparazione"
"Add to Wish List","Aggiungi alla lista dei desideri"
"Auto Width","Larghezza automatica"
"Autoplay","Riproduzione automatica"
"Change name of nav button","Cambiare il nome del pulsante nav"
"Create New Slider","Crea nuovo cursore"
"Data","Dati"
"Delete","Elimina"
"Delete ","Elimina"
"Delete Slider","Cancellare il cursore"
"Edit","Modifica"
"Edit Slider ","Modifica slider"
"In stock","disponibile"
"Is Enabled Module","È il modulo abilitato"
"Is Responsive","È responsabile"
"Lazy load images","Immagini di carico pigro"
"Loop Slider","Loop Slider"
"Margin Between Items","Margine tra gli elementi"
"Max Items Slider (Screen Bigger Than 1000)","Slider Max oggetti (schermo più grande di 1000)"
"Max Items Slider (Screen From 0 to 600)","Slider di oggetti Max (Schermata da 0 a 600)"
"Max Items Slider (Screen From 600 to 1000)","Slider di oggetti max (schermo da 600 a 1000)"
"Name","Nome"
"New Slider","Nuovo cursore"
"Next/Prev buttons","Pulsanti Next / Prev"
"No","No"
"Out of stock","Esaurito"
"Product Slider","Slider di prodotto"
"Product Slider Settings","Impostazioni del dispositivo di scorrimento dei prodotti"
"Recently Viewed","visualizzato recentemente"
"Save Slider","Salva Slider"
"Save and Continue Edit","Salva e continua la modifica"
"Should be 1 to most style","Dovrebbe essere 1 a più stile"
"Should be 10 to most style","Dovrebbe essere 10 alla maggior parte dello stile"
"Should be 3 to most style","Dovrebbe essere 3 a più stile"
"Should be 5 to most style","Dovrebbe essere di 5 a più stile"
"Show Dots Navigation","Mostra la navigazione dei punti"
"Slider","Slider"
"Slider Information","Informazioni sul cursore"
"Slider to delete was not found.","Il cursore per eliminare non è stato trovato."
"Sliders","Sliders"
"Something went wrong while saving the Slider.","Qualcosa è andato storto mentre salva il cursore."
"Status","Stato"
"Store 1","Memorizza 1"
"Store 2","Memorizza 2"
"Store View","Visualizza archivio"
"The Slider has been deleted.","Il cursore è stato eliminato."
"The Slider has been saved.","Il cursore è stato salvato."
"This Slider no longer exists.","Questo cursore non esiste più."
"Yes","sì"