"Active From","アクティブから"
"Active To","アクティブにする"
"Add to Cart","カートに追加"
"Add to Compare","比較リストに追加"
"Add to Wish List","欲しいものリストに追加"
"Auto Width","自動幅"
"Autoplay","自動再生"
"Change name of nav button","ナビゲーションボタンの名前を変更する"
"Create New Slider","新しいスライダを作成する"
"Data","データ"
"Delete","削除"
"Delete ","削除"
"Delete Slider","スライダの削除"
"Edit","編集"
"Edit Slider ","スライダーの編集"
"In stock","在庫あり"
"Is Enabled Module","使用可能なモジュール"
"Is Responsive","応答性が高い"
"Lazy load images","レイジーロードイメージ"
"Loop Slider","ループスライダ"
"Margin Between Items","アイテム間のマージン"
"Max Items Slider (Screen Bigger Than 1000)","最大アイテムスライダ（1000以上の画面）"
"Max Items Slider (Screen From 0 to 600)","最大アイテムスライダ（0〜600のスクリーン）"
"Max Items Slider (Screen From 600 to 1000)","最大アイテムスライダ（600から1000までの画面）"
"Name","名"
"New Slider","新しいスライダ"
"Next/Prev buttons","次/前ボタン"
"No","いいえ"
"Out of stock","在庫切れ"
"Product Slider","製品スライダ"
"Product Slider Settings","製品スライダの設定"
"Recently Viewed","最近閲覧した"
"Save Slider","スライダを保存"
"Save and Continue Edit","保存して編集を継続"
"Should be 1 to most style","ほとんどのスタイルに1にする必要があります"
"Should be 10 to most style","ほとんどのスタイルに10にする必要があります"
"Should be 3 to most style","ほとんどのスタイルに3にする必要があります"
"Should be 5 to most style","ほとんどのスタイルに5にする必要があります"
"Show Dots Navigation","点を表示するナビゲーション"
"Slider","スライダー"
"Slider Information","スライダー情報"
"Slider to delete was not found.","削除するスライダが見つかりませんでした。"
"Sliders","スライダー"
"Something went wrong while saving the Slider.","スライダーを保存している間に何かが間違っていました。"
"Status","状態"
"Store 1","店舗1"
"Store 2","店舗2"
"Store View","店舗ビュー"
"The Slider has been deleted.","スライダが削除されました。"
"The Slider has been saved.","スライダが保存されました。"
"This Slider no longer exists.","このスライダは存在しません。"
"Yes","はい"