"Active From","Aktiv Fra"
"Active To","Aktiv Til"
"Add to Cart","Legg i handlekurv"
"Add to Compare","Legg til sammenligning"
"Add to Wish List","Legg til ønskeliste"
"Auto Width","Automatisk bredde"
"Autoplay","Auto spill"
"Change name of nav button","Endre navn på nav-knappen"
"Create New Slider","Opprett ny glidebryter"
"Data","Data"
"Delete","Slett"
"Delete ","Slett"
"Delete Slider","Slett skyveknappen"
"Edit","Redigere"
"Edit Slider ","Rediger Slider"
"In stock","På lager"
"Is Enabled Module","Er aktivert modul"
"Is Responsive","Er Responsive"
"Lazy load images","Lazy load bilder"
"Loop Slider","Loop Slider"
"Margin Between Items","Margin mellom elementer"
"Max Items Slider (Screen Bigger Than 1000)","Gjenstander for maksimal gjenstand (skjerm større enn 1000)"
"Max Items Slider (Screen From 0 to 600)","Gjenstander for maksimal gjenstand (skjerm fra 0 til 600)"
"Max Items Slider (Screen From 600 to 1000)","Gjenstander for maksimal gjenstand (skjerm fra 600 til 1000)"
"Name","Navn"
"New Slider","Ny Slider"
"Next/Prev buttons","Neste / Forrige knapper"
"No","Nei"
"Out of stock","Utsolgt"
"Product Slider","Produkt Slider"
"Product Slider Settings","Innstillinger for produktskyvinger"
"Recently Viewed","Nylig sett"
"Save Slider","Lagre Slider"
"Save and Continue Edit","Lagre og fortsett Rediger"
"Should be 1 to most style","Bør være 1 til de fleste stiler"
"Should be 10 to most style","Bør være 10 til de fleste stiler"
"Should be 3 to most style","Bør være 3 til de fleste stiler"
"Should be 5 to most style","Bør være 5 til de fleste stiler"
"Show Dots Navigation","Vis prikknavigasjon"
"Slider","Slider"
"Slider Information","Slider Informasjon"
"Slider to delete was not found.","Slider for å slette ble ikke funnet."
"Sliders","Sliders"
"Something went wrong while saving the Slider.","Noe gikk galt mens du lagret skyveknappen."
"Status","Status"
"Store 1","Lagre 1"
"Store 2","Lagre 2"
"Store View","Lagre visning"
"The Slider has been deleted.","Skyvekontrollen er slettet."
"The Slider has been saved.","Skyvekontrollen har blitt lagret."
"This Slider no longer exists.","Denne skyveknappen eksisterer ikke lenger."
"Yes","Ja"