"Active From","Ativo de"
"Active To","Ativo para"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para comparar"
"Add to Wish List","Adicionar a lista de desejos"
"Auto Width","Largura automática"
"Autoplay","Reprodução automática"
"Change name of nav button","Alterar o nome do botão de navegação"
"Create New Slider","Criar novo controle deslizante"
"Data","Dados"
"Delete","Excluir"
"Delete ","Excluir"
"Delete Slider","Eliminar o controle deslizante"
"Edit","Editar"
"Edit Slider ","Editar o controle deslizante"
"In stock","Em estoque"
"Is Enabled Module","É o Módulo habilitado"
"Is Responsive","É responsivo"
"Lazy load images","Imagens de carga preguiçosas"
"Loop Slider","Loop Slider"
"Margin Between Items","Margem entre itens"
"Max Items Slider (Screen Bigger Than 1000)","Controle deslizante de itens máximos (tela maior do que 1000)"
"Max Items Slider (Screen From 0 to 600)","Controle deslizante de itens máximos (tela de 0 a 600)"
"Max Items Slider (Screen From 600 to 1000)","Controle deslizante de itens máximos (tela de 600 a 1000)"
"Name","Nome"
"New Slider","Novo controle deslizante"
"Next/Prev buttons","Próxima / Anterior botões"
"No","Não"
"Out of stock","Fora de estoque"
"Product Slider","Slider de produto"
"Product Slider Settings","Configurações do controle deslizante do produto"
"Recently Viewed","visto recentemente"
"Save Slider","Save Slider"
"Save and Continue Edit","Salvar e continuar Editar"
"Should be 1 to most style","Deve ser 1 para a maioria dos estilos"
"Should be 10 to most style","Deve ser 10 para a maioria dos estilos"
"Should be 3 to most style","Deve ser 3 para a maioria dos estilos"
"Should be 5 to most style","Deve ser 5 para a maioria dos estilos"
"Show Dots Navigation","Mostrar Navegação de Pontos"
"Slider","Slider"
"Slider Information","Informações sobre o controle deslizante"
"Slider to delete was not found.","O controle deslizante para excluir não foi encontrado."
"Sliders","Sliders"
"Something went wrong while saving the Slider.","Algo deu errado ao salvar o Slider."
"Status","Status"
"Store 1","Loja 1"
"Store 2","Loja 2"
"Store View","Visualização da loja"
"The Slider has been deleted.","O controle deslizante foi excluído."
"The Slider has been saved.","O Slider foi salvo."
"This Slider no longer exists.","Este controle deslizante não existe mais."
"Yes","sim"