"Active From","Aktiv Från"
"Active To","Aktiv Till"
"Add to Cart","Lägg till i kundvagn"
"Add to Compare","Lägg till för att jämföra"
"Add to Wish List","Lägg till i önskelista"
"Auto Width","Automatisk bredd"
"Autoplay","Autospela"
"Change name of nav button","Ändra namn på nav-knappen"
"Create New Slider","Skapa ny reglage"
"Data","Data"
"Delete","Radera"
"Delete ","Radera"
"Delete Slider","Ta bort skjutreglaget"
"Edit","Redigera"
"Edit Slider ","Redigera skjutreglaget"
"In stock","I lager"
"Is Enabled Module","Är aktiverad modul"
"Is Responsive","Är Responsive"
"Lazy load images","Lazy load bilder"
"Loop Slider","Loop Slider"
"Margin Between Items","Marginal mellan artiklar"
"Max Items Slider (Screen Bigger Than 1000)","Max objektreglage (skärm större än 1000)"
"Max Items Slider (Screen From 0 to 600)","Max objektreglage (skärm från 0 till 600)"
"Max Items Slider (Screen From 600 to 1000)","Max objektreglage (skärm från 600 till 1000)"
"Name","namn"
"New Slider","Ny Slider"
"Next/Prev buttons","Nästa / Förra knappar"
"No","Nej"
"Out of stock","Slut i centrallagret"
"Product Slider","Produktreglage"
"Product Slider Settings","Inställningar för produktreglage"
"Recently Viewed","nyss sedda"
"Save Slider","Spara skjutreglaget"
"Save and Continue Edit","Spara och fortsätt Redigera"
"Should be 1 to most style","Bör vara 1 till de flesta stilar"
"Should be 10 to most style","Bör vara 10 till de flesta stilar"
"Should be 3 to most style","Bör vara 3 till de flesta stilar"
"Should be 5 to most style","Bör vara 5 till de flesta stilar"
"Show Dots Navigation","Visa pricknavigering"
"Slider","Slider"
"Slider Information","Slider Information"
"Slider to delete was not found.","Slider för att radera hittades inte."
"Sliders","sliders"
"Something went wrong while saving the Slider.","Något gick fel när du sparar reglaget."
"Status","Status"
"Store 1","Lagra 1"
"Store 2","Lagra 2"
"Store View","Store Visa"
"The Slider has been deleted.","Slider har raderats."
"The Slider has been saved.","Slider har sparats."
"This Slider no longer exists.","Denna reglage finns inte längre."
"Yes","Ja"