"Active From","Активний з"
"Active To","Активний до"
"Add to Cart","Додати в кошик"
"Add to Compare","Додати до Порівняння"
"Add to Wish List","Додати до списку бажань"
"Auto Width","Авто Ширина"
"Autoplay","Автоматичне відтворення"
"Change name of nav button","Змініть назву кнопки навігації"
"Create New Slider","Створити новий слайдер"
"Data","Дані"
"Delete","Видалити"
"Delete ","Видалити"
"Delete Slider","Видалити повзунок"
"Edit","Редагувати"
"Edit Slider ","Редагувати повзунок"
"In stock","В наявності"
"Is Enabled Module","Модуль ввімкнено"
"Is Responsive","Відповідає"
"Lazy load images","Ляжке завантаження зображень"
"Loop Slider","Повзунок циклу"
"Margin Between Items","Маржа між елементами"
"Max Items Slider (Screen Bigger Than 1000)","Максові елементи слайдера (екран більший ніж 1000)"
"Max Items Slider (Screen From 0 to 600)","Максові елементи повзунка (екран від 0 до 600)"
"Max Items Slider (Screen From 600 to 1000)","Макс. Елементи слайдера (екран від 600 до 1000)"
"Name","Ім'я"
"New Slider","Новий слайдер"
"Next/Prev buttons","Наступні / попередні кнопки"
"No","Немає"
"Out of stock","Немає в наявності"
"Product Slider","Повзунок продукту"
"Product Slider Settings","Налаштування слайдера продукту"
"Recently Viewed","недавно переглянутий"
"Save Slider","Зберегти повзунок"
"Save and Continue Edit","Зберегти та продовжити редагування"
"Should be 1 to most style","Має бути 1 до більшості стилів"
"Should be 10 to most style","Має бути 10 до більшості стилів"
"Should be 3 to most style","Має бути 3 до більшості стилів"
"Should be 5 to most style","Має бути 5 до більшості стилів"
"Show Dots Navigation","Показати точки навігації"
"Slider","Слайдер"
"Slider Information","Повзунок Інформація"
"Slider to delete was not found.","Слайдер для видалення не знайдено."
"Sliders","Повзунки"
"Something went wrong while saving the Slider.","Під час збереження повзунка сталося не так."
"Status","Статус"
"Store 1","Магазин 1"
"Store 2","Магазин 2"
"Store View","Перегляд магазину"
"The Slider has been deleted.","Слайдер видалено."
"The Slider has been saved.","Слайдер збережено."
"This Slider no longer exists.","Цей слайдер більше не існує."
"Yes","Так"