"Active From","Hoạt động từ"
"Active To","Active To"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","thêm vào để so sánh"
"Add to Wish List","Thêm vào danh sách mong muốn"
"Auto Width","Độ rộng tự động"
"Autoplay","Tự chạy"
"Change name of nav button","Thay đổi tên của nút nav"
"Create New Slider","Tạo thanh trượt mới"
"Data","Dữ liệu"
"Delete","Xóa bỏ"
"Delete ","Xóa bỏ"
"Delete Slider","Xóa thanh trượt"
"Edit","Chỉnh sửa"
"Edit Slider ","Chỉnh Slider"
"In stock","Trong kho"
"Is Enabled Module","Đã Bật Mô đun"
"Is Responsive","Đang phản ứng"
"Lazy load images","Lười tải hình ảnh"
"Loop Slider","Loop Slider"
"Margin Between Items","Margin giữa Các Mục"
"Max Items Slider (Screen Bigger Than 1000)","Thanh trượt mục hàng Tối đa (Màn hình lớn hơn 1000)"
"Max Items Slider (Screen From 0 to 600)","Thanh trượt Danh mục Tối đa (Màn hình Từ 0 đến 600)"
"Max Items Slider (Screen From 600 to 1000)","Thanh trượt mục hàng tối đa (Màn hình 600 đến 1000)"
"Name","Tên"
"New Slider","Thanh trượt mới"
"Next/Prev buttons","Các nút Tiếp theo / Trước đó"
"No","Không"
"Out of stock","Hết hàng"
"Product Slider","Thanh trượt sản phẩm"
"Product Slider Settings","Cài đặt Thanh trượt Sản phẩm"
"Recently Viewed","Đã xem gần đây"
"Save Slider","Lưu thanh trượt"
"Save and Continue Edit","Lưu và Tiếp tục Chỉnh sửa"
"Should be 1 to most style","Nên có 1 phong cách nhất"
"Should be 10 to most style","Nên có 10 đến phong cách nhất"
"Should be 3 to most style","Nên có 3 đến phong cách nhất"
"Should be 5 to most style","Nên có 5 đến hầu hết phong cách"
"Show Dots Navigation","Hiển thị Dots Navigation"
"Slider","Thanh trượt"
"Slider Information","Thông tin trượt"
"Slider to delete was not found.","Không tìm thấy thanh trượt để xóa."
"Sliders","Thanh trượt"
"Something went wrong while saving the Slider.","Đã xảy ra lỗi khi lưu thanh trượt."
"Status","Trạng thái"
"Store 1","Lưu trữ 1"
"Store 2","Lưu trữ 2"
"Store View","Chế độ xem cửa hàng"
"The Slider has been deleted.","Thanh trượt đã bị xóa."
"The Slider has been saved.","Thanh trượt đã được lưu."
"This Slider no longer exists.","Thanh trượt này không còn tồn tại."
"Yes","Vâng"