"Active From","活躍於"
"Active To","活躍到"
"Add to Cart","添加到購物車"
"Add to Compare","加入比較"
"Add to Wish List","加入心願單"
"Auto Width","自動寬度"
"Autoplay","自動播放"
"Change name of nav button","更改導航按鈕的名稱"
"Create New Slider","創建新滑塊"
"Data","數據"
"Delete","刪除"
"Delete ","刪除"
"Delete Slider","刪除滑塊"
"Edit","編輯"
"Edit Slider ","編輯滑塊"
"In stock","有現貨"
"Is Enabled Module","啟用模塊"
"Is Responsive","有反應"
"Lazy load images","懶惰加載圖像"
"Loop Slider","循環滑塊"
"Margin Between Items","物品之間的保證金"
"Max Items Slider (Screen Bigger Than 1000)","最大物品滑塊（屏幕比1000大）"
"Max Items Slider (Screen From 0 to 600)","最大物品滑塊（屏幕從0到600）"
"Max Items Slider (Screen From 600 to 1000)","最大物品滑塊（屏幕從600到1000）"
"Name","名稱"
"New Slider","新滑塊"
"Next/Prev buttons","下一個/上一個按鈕"
"No","沒有"
"Out of stock","缺貨"
"Product Slider","產品滑塊"
"Product Slider Settings","產品滑塊設置"
"Recently Viewed","最近瀏覽過的"
"Save Slider","保存滑塊"
"Save and Continue Edit","保存並繼續編輯"
"Should be 1 to most style","應該是1到最風格"
"Should be 10 to most style","應該是10以最風格"
"Should be 3 to most style","應該是3到最風格"
"Should be 5 to most style","應該是5到最風格"
"Show Dots Navigation","顯示點導航"
"Slider","滑塊"
"Slider Information","滑塊信息"
"Slider to delete was not found.","未找到要刪除的滑塊。"
"Sliders","滑塊"
"Something went wrong while saving the Slider.","保存滑塊時發生錯誤。"
"Status","狀態"
"Store 1","商店1"
"Store 2","商店2"
"Store View","商店視圖"
"The Slider has been deleted.","滑塊已被刪除。"
"The Slider has been saved.","滑塊已被保存。"
"This Slider no longer exists.","此滑塊不再存在。"
"Yes","是"